name_trip,address_trip,name_g,address_g
Cantiere Hambirreria,garibaldi,Cantiere Hambirreria Milano,garibaldi
BLUE M Milano - Bottega Marchigiana,lanzone   santambrogio cattolica,BLUE M MILANO - BOTTEGA MARCHIGIANA,lanzone
Osteria Da Fortunata - Moscova Milano,della moscova,Osteria da Fortunata - Moscova Milano,della moscova
Pizzium - Via Anfossi,augusto anfossi,Pizzium - Via Anfossi,augusto anfossi
Marea Seafood & Beverage,papa gregorio xiv,Marea Seafood & Beverage,papa gregorio xiv
PitBeef Milano,gaetano de castillia,PitBeef Milano,gaetano de castillia
Cesarino,pattari,Cesarino,pattari
Sapori Solari - Cocktail Bistrot,a stoppani,Sapori Solari - Cocktail Bistrot,antonio stoppani
Incontro Restaurant&drink,alfonso lamarmora,Incontro Restaurant&Drink,alfonso lamarmora
Pizzium - Via Vigevano,vigevano,Pizzium - Via Vigevano,vigevano
l’Anlot e Oltre,raffaello sanzio,L'Anlot e oltre...,raffaello sanzio
Bosco Verticale Restaurant Milano,federico confalonieri   angolo volturno,Bosco Verticale Restaurant,federico confalonieri
Kandoo Nippon Restaurant,corsica,Kandoo Restaurant,corsica
Focus Bracerie Italiane,piazzale segrino,Focus - Bracerie Italiane,piazzale segrino
Casa Del Pane,garibaldi,Casa Del Pane,garibaldi
La Tartina,san carpoforo   zona brera,La Tartina,san carpoforo
Crotto Quartino - Milano -,dionigi bussola,Crotto Quartino Milano,dionigi bussola
Pizza Shambo,edolo,PIZZA Shambò,edolo
Viaggi Nel Gusto,edmondo de amicis,Viaggi nel Gusto,edmondo de amicis
Pizzium - Viale Tunisia,tunisia,Pizzium - Viale Tunisia,tunisia
Tamo Mozzarella Bar,osti,Tamo Mozzarella Bar,osti
Piz,torino,Piz,torino
Sapori Stellari,savona,Sapori Stellari,savona
Sushi&Sound,ventiquattro maggio,Sushi&Sound,ventiquattro maggio
Boccondivino,giosue carducci   zona sant ambrogio,Boccondivino,giosuè carducci
G Sushi Oriental Pleasure,losanna,G Sushi Oriental Pleasure,losanna
Sapori Solari - Salumeria Bistrot,sofonisba anguissola,Sapori Solari - La Salumeria,sofonisba anguissola
Da Vic - Ristorante Guerrini,gaetano previati   mm1 amendola fiera,Ristorante Guerrini,gaetano previati
Bottega Valtellina 18,valtellina,Bottega Valtellina 18,valtellina
Rizzo Come A Casa,varesina,Rizzocomeacasa,varesina
Linfa Milano - Eat Different,bergognone,Linfa Milano - Eat Different,bergognone
