Unnamed: 0,Index,business_status,geometry,name_g,place_id,types,address_g,rating_g,total_reviews_g,price_level_g,address_g_backup
24,59,OPERATIONAL,"{'lat': 45.4039192, 'lng': 9.1724335}",Pizzeria Il Molo,ChIJ13yD6ZjEhkcRqupBIvl6VSo,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",costantino baroni,4.0,130.0,1.0,"Via Costantino Baroni, 244, Milano"
25,60,OPERATIONAL,"{'lat': 45.4040433, 'lng': 9.1723005}",Pizzeria Da Kiro Pizza da asporto,ChIJcS-p8ZjEhkcRRFjuY9Kx4f8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",costantino baroni,3.9,47.0,1.0,"Via Costantino Baroni, 242, Milano"
37,135,OPERATIONAL,"{'lat': 45.4050454, 'lng': 9.152785100000001}",Sushi Daily Assago,ChIJN9z2447DhkcROxmg2dU22Cg,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",milanofiori milanofiori,4.1,7.0,,"Milanofiori Centro Commerciale, Viale Milanofiori, Milano"
57,215,OPERATIONAL,"{'lat': 45.4083552, 'lng': 9.1520686}",Vintage Break,ChIJgbTfz2jDhkcR0qZw26mJca8,"['restaurant', 'food', 'point_of_interest', 'establishment']",degli incontri,4.0,345.0,2.0,"Piazza degli Incontri, 12, Milano"
84,360,OPERATIONAL,"{'lat': 45.4134441, 'lng': 9.209488200000001}",Locanda Macconago Ristorante,ChIJRYh2IfzEhkcRODTGAkghhj4,"['restaurant', 'point_of_interest', 'food', 'establishment']",macconago,4.4,240.0,2.0,"Via Macconago, 20, Milano"
89,382,OPERATIONAL,"{'lat': 45.4140508, 'lng': 9.162860199999999}",Charleston,ChIJRZUFlXzDhkcRpk0sBaJuIIE,"['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",icilio calzolari,4.0,411.0,2.0,"Via Icilio Calzolari, 1, Milano"
90,383,OPERATIONAL,"{'lat': 45.4140904, 'lng': 9.1629139}",Salcone Sas,ChIJZYMQlXzDhkcRpPXG4oOeZ0k,"['restaurant', 'food', 'point_of_interest', 'establishment']",icilio calzolari,,,,"Via Icilio Calzolari, 1, Milano"
91,388,OPERATIONAL,"{'lat': 45.4146849, 'lng': 9.1694502}",SAN GAUDIENZO,ChIJwygH8-rFhkcRENsYwTjsLMo,"['restaurant', 'point_of_interest', 'food', 'establishment']",gratosoglio,,,,"Via Gratosoglio, Milano"
92,390,OPERATIONAL,"{'lat': 45.4144386, 'lng': 9.175942299999999}",Vita Bistrot,ChIJ6yB9UYTEhkcRqgJyGAhVphc,"['restaurant', 'food', 'point_of_interest', 'establishment']",dei missaglia,,,,"Via dei Missaglia, 89, Milano"
95,408,OPERATIONAL,"{'lat': 45.414953, 'lng': 9.176276000000003}","Gustop - Ristorante, Bar, Catering",ChIJyzcsAYzEhkcRpViQU-S64JA,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",selvanesco,4.1,111.0,1.0,"Via Selvanesco, 77, Milano"
109,446,OPERATIONAL,"{'lat': 45.4162556, 'lng': 9.1772362}",Pizzeria da Tito,ChIJQc7k1YXEhkcRFdBUhFrjKlw,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",ettore bugatti,4.0,89.0,,"Via Ettore Bugatti, 11, Milano"
110,448,OPERATIONAL,"{'lat': 45.4162556, 'lng': 9.1772362}",Bistro' terrazze,ChIJdwib-yXFhkcR0Pz0uVqxkts,"['restaurant', 'food', 'point_of_interest', 'establishment']",ettore bugatti,4.3,36.0,,"Via Ettore Bugatti, 11, Milano"
111,449,OPERATIONAL,"{'lat': 45.4162556, 'lng': 9.1772362}",Molini Besozzi Marzoli,ChIJQc7k1YXEhkcRI6btHtJ3dHk,"['restaurant', 'food', 'point_of_interest', 'establishment']",ettore bugatti,,,,"Via Ettore Bugatti, 11, Milano"
112,451,OPERATIONAL,"{'lat': 45.4166489, 'lng': 9.1777515}",Shon Cafè,ChIJ0SrmfobEhkcR_Ok2mucQzVo,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",ettore bugatti,4.1,418.0,1.0,"Via Ettore Bugatti, 7, Milano"
113,454,OPERATIONAL,"{'lat': 45.4159051, 'lng': 9.239568000000002}",Borgo Nuovo Restaurant Lounge,ChIJAdVhfXXFhkcRfNqSKXrq22o,"['restaurant', 'food', 'point_of_interest', 'establishment']",san bernardo,4.1,246.0,2.0,"Via San Bernardo, 16, Milano"
114,456,OPERATIONAL,"{'lat': 45.41579540000001, 'lng': 9.2401305}",Locanda Chiaravalle,ChIJLeEdfXXFhkcR94FVCoea8IM,"['restaurant', 'point_of_interest', 'food', 'establishment']",san bernardo,,,,"Via San Bernardo, 36, Milano"
