title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,0,Autogrill,2.0,3.5,2501.0,"A50 Tangenziale Ovest di Milano, km 18, Assago","a50 tangenziale ovest di milano, km 18, assago"
,,,,2,L'angolo del Buongustaio,,1.0,1.0,"A50 Tangenziale Ovest di Milano, km 18, Assago","a50 tangenziale ovest di milano, km 18, assago"
,,,,3,Compagnia Dell'Espresso Srl,,,,"Viale Milanofiori SDA 6, Assago, MI 20090","viale milanofiori sda 6, assago, mi 20090"
,,,,4,Assago 03,,,,"Piazza degli Incontri, Assago","piazza degli incontri, assago"
,,,,5,Rasoi baget,,,,"Via Roma, Assago","via roma, assago"
,,,,7,"Bar Trattoria ""Anna & Giulio” Assago",1.0,4.1,264.0,"Via dei Caduti, 8, Assago","via dei caduti, 8, assago"
,,,,10,Italiano,,,,"Via Giovanni XXIII, 6, Assago","via giovanni xxiii, 6, assago"
,,,,11,Boulevardier café & bistrot,,4.2,199.0,"Via Roma, 22, Assago","via roma, 22, assago"
,,,,16,The Blue Crab,,4.3,4.0,"Via Giuseppe di Vittorio, 4, Assago","via giuseppe di vittorio, 4, assago"
,,,,18,Foodhall Restaurant Pizza Coffee,2.0,3.7,15.0,"Via G. Di Vittorio, 6, Assago","via g. di vittorio, 6, assago"
,,,,19,Forum Cafè,,,,"Via Giuseppe di Vittorio, 6, Assago","via giuseppe di vittorio, 6, assago"
,,,,20,The Kitchen,,,,"Via Giuseppe di Vittorio, 6, Assago","via giuseppe di vittorio, 6, assago"
,,,,24,Machapokè,,3.9,82.0,"Viale Milanofiori, Assago","viale milanofiori, assago"
,,,,26,Alice Pizza Assago,2.0,3.3,40.0,"Viale Milanofiori, Assago","viale milanofiori, assago"
,,,,27,Marro Garden #Fisheria,2.0,4.3,1047.0,"Via Valleambrosia, 3, Assago","via valleambrosia, 3, assago"
,,,,28,UMU Sushi,1.0,4.0,1330.0,"Via Valleambrosia, 11, Rozzano","via valleambrosia, 11, rozzano"
,,,,29,C'era una volta il Passatore,,4.4,13.0,"Via Valleambrosia, 3, Rozzano","via valleambrosia, 3, rozzano"
,,,,30,Ristorante Villa Yu,,4.0,101.0,"Via Valleambrosia, 11, Assago","via valleambrosia, 11, assago"
,,,,33,Rm Services S.r.l.,,,,"Via Costantino Baroni, 190, Milano","via costantino baroni, 190, milano"
,,,,35,Antica Osteria Il Ronchettino,2.0,4.3,1227.0,"Via Lelio Basso, 9, Milano","via lelio basso, 9, milano"
,,,,36,Pizzeria Il Molo,1.0,4.0,129.0,"Via Costantino Baroni, 244, Milano","via costantino baroni, 244, milano"
,,,,37,Pizzeria Da Kiro Pizza da asporto,1.0,3.9,47.0,"Via Costantino Baroni, 242, Milano","via costantino baroni, 242, milano"
,,,,43,The Refreshment of Frogs & Ranokkio,,4.5,113.0,"Via Pescara, 44, Milano","via pescara, 44, milano"
,,,,44,Pizzeria Malibù 2,1.0,3.7,66.0,"Via del Parlamento, 6, San Giuliano Milanese","via del parlamento, 6, san giuliano milanese"
,,,,45,Yu Hua,1.0,4.4,524.0,"Via delle Crociate, 20, San Giuliano Milanese","via delle crociate, 20, san giuliano milanese"
