,name,counts
78,Acafè,3
118,Al Cantinone,2
192,Alice Pizza,6
277,Antica Focacceria San Francesco,2
340,Assaje,2
353,Autogrill,4
359,Awad Ahmed Mohamed,2
382,BASARA sushi pasticceria,4
444,Bar Atlantic Esselunga,9
571,Bastianello,3
606,Ben & Jerry's Food House,3
661,Birra & Gelato,2
662,Birra di Quartiere,2
682,Bistrot,2
686,Bistrot Milano,2
777,Bowls And More,8
782,Braciamoci,2
790,Break Bianco,2
828,Burger King,10
832,Burgez,7
836,Burrito Bar,2
866,CKN & CKN,3
868,CLASSICO trattoria & cocktail,2
947,California Bakery,10
973,Cantun Bakery and Bistrot,2
1022,Casa del Ramen,2
1070,Charleston,2
1132,Ciccio Pizza,3
1175,Coca-Cola Restaurant & Bar,2
1176,Cocciuto,4
1181,Cody Pokè • Sushi,2
1222,Cornetto Official Store,2
1264,Cucina Cinese,2
1339,Da Zero,2
1400,Delivery Valley,3
1477,Drogheria Milanese,2
1493,Döner Club Kebab,2
1637,Family Bar,2
1639,Famoso Fusion,2
1669,Felice,2
1696,Five Guys,4
1701,Flower Burger,5
1780,Fusho,2
1792,GIOVANNI PANETTA,2
1823,Garibaldi,3
1848,Gelmetti 1952,2
1863,Get your Drink,2
1949,Grand'Italia,2
1953,Greek Fusion,3
2000,Hamerica's,6
2014,Happy Days,2
2036,Hekfanchai,3
2037,Hela Pizza Kebab,2
2039,Hello Chicken,2
2137,IPPO Sushi Boutique,3
2151,Ichi Station,8
2194,Il Focacciaro,2
2244,Il Panino Ignorante Gourmet,2
2272,Il Salotto,2
2281,Il Tegamino,2
2289,Il Vinaio di Furio,2
2321,Insalatona,2
2352,Istanbul Kebap,2
2447,KFC,8
2482,Kazan Sushi,2
2512,Kiku,2
2523,Kiosko sushi and more,2
2575,L'Isolotto,2
2657,La Caveja,2
2703,La Focacceria,5
2724,La Locanda,2
2761,La Piadineria,39
2762,La Piadineria - Tasty & Free,2
2789,La Regina,2
2824,La Taverna,2
3011,Lovely Poke,3
3038,MACHA Café,4
3063,MINT Japanese Bowls&Noodles,2
3138,Mamma Oliva,2
3158,Mani in Pasta,3
3223,McDonald's,23
3240,Mediterraneo,2
3255,Mensa,2
3307,Milano Kebap House,2
3448,My Sushi,2
3460,NIMA Sushi,3
3550,Noodle Bar,2
3620,Oishii,2
3627,Old Wild West,6
3823,PanBrioche,2
3834,Pandenus,3
3864,Panini Durini,13
3872,Panino Giusto,16
3879,Paninoteca,2
3933,Pattini,2
3979,Pescherie Riunite,3
3997,Piadineria,4
4009,Piasù,2
4018,Piccola Ischia,4
4026,Pigato Milano | Clubhouse Sandwich and Fine Drinks,2
4041,Pitador,2
4051,Pizza Al Trancio,2
4113,Pizzeria,3
4149,Pizzeria Calafuria,2
4150,Pizzeria Capri 1960,2
4156,Pizzeria Charlie Brown,2
4188,Pizzeria Gennarì,2
4238,Pizzeria Naturale,3
4274,Pizzeria San Giorgio,4
4284,Pizzeria Santa Maria,5
4322,Pizzeria da Giuliano,2
4352,Pizzikotto,4
4371,Poke Away - Hawaiian and Ceviche Bowls,3
4394,Poke Sun-Rice,2
4408,Pokéria by NIMA,8
4426,Poormanger,2
4454,Princi,4
4459,Pronto Pizza,2
4476,Puro Gusto,2
4530,Radicetonda,2
4586,Restaurante,2
4613,Ristorante,2
4703,Ristorante Grill,2
4732,Ristorante Kuiri MegaMix Cloud Kitchen,3
4813,Ristorante Pizzeria Il Faro,2
4976,Rosebymary,2
4987,Rossopomodoro,7
4994,Rosticceria,2
5061,Sabatini,2
5094,San Carlo,2
5111,Sant'Ambrogio,2
5137,Sapurì,2
5194,Shalimar,2
5200,Shanti,2
5225,Signorvino Milano,3
5303,Spontini,15
5394,Sushi Li,2
5395,Sushi Plus,2
5441,TURKISH KEBAB PİZZA,2
5513,Temakinho,2
5624,Toasteria Italiana,2
5635,Tomato Pizza,2
5697,Trattoria Caprese,3
5712,Trattoria Il Marinaio,2
5787,Turkish Kebab,3
5788,Turkish Kebap,4
5904,Vintage Cafè,2
5915,Vivo Ristoranti,2
5932,WOK on the GO,2
5942,Wang Jiao,4
5946,Wasabi,2
6051,Zio Pesce,2
6106,laESSE,2
