,Index,business_status,geometry,name_g,place_id,types,address_g,rating_g,total_reviews_g,price_level_g
11,16,OPERATIONAL,"{'lat': 45.4028435, 'lng': 9.152347899999999}",Panino Giusto,ChIJU5P6SHjDhkcR3r3uHXajH1M,"['restaurant', 'food', 'point_of_interest', 'establishment']","CC Carrefour, Viale Milano Fiori, 23, Milano",3.8,438.0,2.0
24,59,OPERATIONAL,"{'lat': 45.4039192, 'lng': 9.1724335}",Pizzeria Il Molo,ChIJ13yD6ZjEhkcRqupBIvl6VSo,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Costantino Baroni, 244, Milano",4.0,130.0,1.0
25,60,OPERATIONAL,"{'lat': 45.4040433, 'lng': 9.1723005}",Pizzeria Da Kiro Pizza da asporto,ChIJcS-p8ZjEhkcRRFjuY9Kx4f8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Costantino Baroni, 242, Milano",3.9,47.0,1.0
28,116,OPERATIONAL,"{'lat': 45.404514, 'lng': 9.174146}",Antica Osteria Il Ronchettino,ChIJZexKQpjEhkcRSKnOqLVEEOU,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Lelio Basso, 9, Milano",4.3,1232.0,2.0
37,135,OPERATIONAL,"{'lat': 45.4050454, 'lng': 9.152785100000001}",Sushi Daily Assago,ChIJN9z2447DhkcROxmg2dU22Cg,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Milanofiori Centro Commerciale, Viale Milanofiori, Milano",4.1,7.0,
57,215,OPERATIONAL,"{'lat': 45.4083552, 'lng': 9.1520686}",Vintage Break,ChIJgbTfz2jDhkcR0qZw26mJca8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Piazza degli Incontri, 12, Milano",4.0,345.0,2.0
67,259,OPERATIONAL,"{'lat': 45.40934, 'lng': 9.1513387}",La Piadineria,ChIJNzzRpg_DhkcRWjML2zeTja8,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via del Bosco Rinnovato, 8, Milano",3.0,2.0,1.0
77,334,OPERATIONAL,"{'lat': 45.4124126, 'lng': 9.1737185}",La Pizza Pulcinella,ChIJBcFGuITEhkcRiZH5r5O_BQI,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Costantino Baroni, 12, Milano",4.0,141.0,1.0
78,335,OPERATIONAL,"{'lat': 45.4122049, 'lng': 9.174050000000001}",Braceria Gratosoglio del pascolo verde,ChIJ7XoxyITEhkcRke3livPQYgY,"['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']","Via Costantino Baroni, 1, Milano",3.8,60.0,
84,360,OPERATIONAL,"{'lat': 45.4134441, 'lng': 9.209488200000001}",Locanda Macconago Ristorante,ChIJRYh2IfzEhkcRODTGAkghhj4,"['restaurant', 'point_of_interest', 'food', 'establishment']","Via Macconago, 20, Milano",4.4,240.0,2.0
89,382,OPERATIONAL,"{'lat': 45.4140508, 'lng': 9.162860199999999}",Charleston,ChIJRZUFlXzDhkcRpk0sBaJuIIE,"['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']","Via Icilio Calzolari, 1, Milano",4.0,411.0,2.0
