,Index,business_status,geometry,name_google,place_id,price_level_google,rating_google,types,total_reviews_google,address
0,0,OPERATIONAL,"{'lat': 45.40098, 'lng': 9.1219615}",Autogrill,ChIJsQiLpCbDhkcRbyauBqvKI_I,2.0,3.5,"['bar', 'grocery_or_supermarket', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",2501.0,"A50 Tangenziale Ovest di Milano, km 18, Assago"
1,2,PERMANENTLY_CLOSED,"{'lat': 45.40085879999999, 'lng': 9.122168}",L'angolo del Buongustaio,ChIJgx8dpCbDhkcRYZI08dLeD9w,,1.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1.0,"A50 Tangenziale Ovest di Milano, km 18, Assago"
2,3,PERMANENTLY_CLOSED,"{'lat': 45.4051188, 'lng': 9.130239499999998}",Compagnia Dell'Espresso Srl,ChIJ3fBTTj3DhkcRim3S-K-o4io,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Viale Milanofiori SDA 6, Assago, MI 20090"
3,4,OPERATIONAL,"{'lat': 45.4051296, 'lng': 9.1302316}",Assago 03,ChIJpa5RTj3DhkcRYKcKGUFArM4,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Piazza degli Incontri, Assago"
4,5,OPERATIONAL,"{'lat': 45.4026414, 'lng': 9.1317121}",Rasoi baget,ChIJO3sglmrDhkcRRGm8QM7A9l8,,,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Roma, Assago"
5,7,OPERATIONAL,"{'lat': 45.4050609, 'lng': 9.130836700000001}","Bar Trattoria ""Anna & Giulio” Assago",ChIJvaB4Qz3DhkcRr6gS3Y_6P28,1.0,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",264.0,"Via dei Caduti, 8, Assago"
6,10,PERMANENTLY_CLOSED,"{'lat': 45.40301179999999, 'lng': 9.133735900000001}",Italiano,ChIJoxvp1MzDhkcRICqmEED4LLU,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Giovanni XXIII, 6, Assago"
7,11,OPERATIONAL,"{'lat': 45.40545909999999, 'lng': 9.130254899999999}",Boulevardier café & bistrot,ChIJzTvEUz3DhkcRHvgqc4hJ4pE,,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",199.0,"Via Roma, 22, Assago"
8,16,OPERATIONAL,"{'lat': 45.4025059, 'lng': 9.1402384}",The Blue Crab,ChIJUV3fhHzDhkcRK6xsPTkbcn0,,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",4.0,"Via Giuseppe di Vittorio, 4, Assago"
9,18,OPERATIONAL,"{'lat': 45.4022505, 'lng': 9.14273}",Foodhall Restaurant Pizza Coffee,ChIJuS-IVkDDhkcRKPz1nHP0aN8,2.0,3.7,"['restaurant', 'point_of_interest', 'food', 'establishment']",15.0,"Via G. Di Vittorio, 6, Assago"
10,19,OPERATIONAL,"{'lat': 45.401644, 'lng': 9.1420511}",Forum Cafè,ChIJl1yirSrDhkcRPn8xwHrlhMg,,,"['bar', 'cafe', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",,"Via Giuseppe di Vittorio, 6, Assago"
11,20,OPERATIONAL,"{'lat': 45.401644, 'lng': 9.1420511}",The Kitchen,ChIJLcpozbDDhkcRSQ4FAM9xJ1Y,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Via Giuseppe di Vittorio, 6, Assago"
12,24,OPERATIONAL,"{'lat': 45.40219460000001, 'lng': 9.147536299999999}",Machapokè,ChIJSdi6BKHDhkcRSUFSMJHGryI,,3.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",82.0,"Viale Milanofiori, Assago"
13,26,OPERATIONAL,"{'lat': 45.4022459, 'lng': 9.1492058}",Alice Pizza Assago,ChIJI8LVGcTDhkcRwP7jeZwAsYw,2.0,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",40.0,"Viale Milanofiori, Assago"
14,27,OPERATIONAL,"{'lat': 45.4033096, 'lng': 9.156676000000001}",Marro Garden #Fisheria,ChIJK_zbjF3DhkcRTLGDi5uYe7w,2.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",1047.0,"Via Valleambrosia, 3, Assago"
15,28,OPERATIONAL,"{'lat': 45.401651, 'lng': 9.155717}",UMU Sushi,ChIJzbFAsl3DhkcRHn_C-1Ntd84,1.0,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",1330.0,"Via Valleambrosia, 11, Rozzano"
16,29,PERMANENTLY_CLOSED,"{'lat': 45.4033031, 'lng': 9.1566742}",C'era una volta il Passatore,ChIJ6asRf1zDhkcR-TCkRe73ttM,,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",13.0,"Via Valleambrosia, 3, Rozzano"
17,30,OPERATIONAL,"{'lat': 45.401651, 'lng': 9.1557218}",Ristorante Villa Yu,ChIJLYPKs13DhkcR4uiPTm0Q3og,,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",101.0,"Via Valleambrosia, 11, Assago"
18,33,PERMANENTLY_CLOSED,"{'lat': 45.4041332, 'lng': 9.169083299999999}",Rm Services S.r.l.,ChIJVVUVOZ_EhkcRTahEvjK1UaY,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Costantino Baroni, 190, Milano"
19,35,OPERATIONAL,"{'lat': 45.404514, 'lng': 9.174146}",Antica Osteria Il Ronchettino,ChIJZexKQpjEhkcRSKnOqLVEEOU,2.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",1227.0,"Via Lelio Basso, 9, Milano"
20,36,OPERATIONAL,"{'lat': 45.4039192, 'lng': 9.1724335}",Pizzeria Il Molo,ChIJ13yD6ZjEhkcRqupBIvl6VSo,1.0,4.0,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",129.0,"Via Costantino Baroni, 244, Milano"
