trip,similar
 #gelatamo Milano,[]
 01 Curti Food,[]
 100 Montaditos,"[{'score': 100, 'google': '100 Montaditos', 'formatted_google': '100montaditos'}]"
 02 Hosteria Contemporanea,"[{'score': 100, 'google': '02 Hosteria Contemporanea', 'formatted_google': '02hosteriacontemporanea'}]"
 'O Fiore Mio' Pizzeria,[]
 10 Corso Como Cafe,"[{'score': 85, 'google': '10 Corso Como', 'formatted_google': '10corsocomo'}]"
 10_11,[]
 #LasciatemiStare,[]
" ""SPECIAL"" Hamburger & Italian Fast Food",[]
 ' A Storia Ristorante,"[{'score': 80, 'google': 'Nonna Vittoria Ristorante', 'formatted_google': 'nonnavittoriaristorante'}, {'score': 80, 'google': 'YAO Ristorante', 'formatted_google': 'yaoristorante'}]"
 11 Sushi&Music,[]
 'O Macarò,"[{'score': 100, 'google': ""'O Macarò"", 'formatted_google': 'omacarò'}]"
 11clubroom,[]
 13 Pizza&Ammore,[]
 13 Giugno Goldoni,[]
 212 Hamburger & Delicious,"[{'score': 100, 'google': '212 Hamburger & Delicious', 'formatted_google': '212hamburgerdelicious'}]"
 142 Restaurant,"[{'score': 83, 'google': 'B Restaurant', 'formatted_google': 'brestaurant'}, {'score': 80, 'google': 'Ba restaurant', 'formatted_google': 'barestaurant'}, {'score': 83, 'google': 'N Restaurant', 'formatted_google': 'nrestaurant'}, {'score': 87, 'google': 'Restaurant', 'formatted_google': 'restaurant'}, {'score': 87, 'google': 'Restaurant', 'formatted_google': 'restaurant'}, {'score': 87, 'google': 'restaurant', 'formatted_google': 'restaurant'}]"
 28 Posti,"[{'score': 100, 'google': '28 Posti', 'formatted_google': '28posti'}]"
 09 Cafe Nuova Milano,[]
 25,[]
 'o Fiore Mio Pizze Di Strada,[]
 10_11 Bar Giardino Ristorante,[]
 2gusti,[]
 12oz Coffee Joint,[]
 16 Round,[]
 131 Chicken Experience,[]
 4cento,"[{'score': 100, 'google': '4cento', 'formatted_google': '4cento'}]"
 4mat Bistrot,"[{'score': 100, 'google': '4MAT Bistrot', 'formatted_google': '4matbistrot'}]"
 101 Tarantella Pizzieria Bar Bistrot,[]
 1848 Sandwiches & Delicious,[]
 7 Luppoli - Birra E Cucina,"[{'score': 100, 'google': '7 Luppoli Birra e Cucina', 'formatted_google': '7luppolibirraecucina'}]"
 37 Gradi Livehouse,[]
 3b Burger Beer Bitter,[]
 40Sette,[]
 19.26 Bistrò,"[{'score': 80, 'google': '1967 Bistrot', 'formatted_google': '1967bistrot'}]"
 442 Sports Pub,[]
 18 Solferino,[]
 A Milano Caribbean Food & Drinks,"[{'score': 100, 'google': 'A Milano Caribbean Food & Drinks', 'formatted_google': 'amilanocaribbeanfooddrinks'}]"
 A Piedigrotta,"[{'score': 100, 'google': 'A Piedigrotta', 'formatted_google': 'apiedigrotta'}]"
 39 Zerodue Milano Restaurant Bistrot,[]
 403030 Healthy Kitchen,[]
 A' Pazziella,"[{'score': 100, 'google': ""A'Pazziella"", 'formatted_google': 'apazziella'}]"
 41 Wine Bar & More,[]
 A Buon Rendere,[]
 55 Bistrot,"[{'score': 88, 'google': 'Bistrot', 'formatted_google': 'bistrot'}, {'score': 88, 'google': 'Bistrot', 'formatted_google': 'bistrot'}, {'score': 88, 'google': 'Bistrot', 'formatted_google': 'bistrot'}]"
 A' Vucciria,"[{'score': 100, 'google': ""A' Vucciria"", 'formatted_google': 'avucciria'}]"
 77vintido,[]
 7's Giò Farini,[]
 A 3 Strati,[]
 93gradi,[]
