title,r_bubbles,r_number,cook_type,expensive
1. Mabuhay Restaurant,"Punteggio 5,0 su 5",840 recensioni,Filippina,€
2. Parea Bistrot,"Punteggio 5,0 su 5",157 recensioni,?,?
3. BLUE M Milano - Bottega Marchigiana,"Punteggio 5,0 su 5",153 recensioni,Italiana,€
4. Il Panino,"Punteggio 5,0 su 5",224 recensioni,"Italiana, Cibo di strada",€
5. Cantiere Hambirreria,"Punteggio 5,0 su 5",865 recensioni,"Italiana, Americana",?
6. Shabby Grill Restaurant,"Punteggio 5,0 su 5",431 recensioni,"Italiana, Steakhouse",€€ - €€€
7. Osteria Da Fortunata - Moscova Milano,"Punteggio 5,0 su 5",175 recensioni,"Romana, Laziale",?
8. Pizzium - Via Anfossi,"Punteggio 4,5 su 5",1.675 recensioni,"Italiana, Pizza",€€ - €€€
9. PitBeef Milano,"Punteggio 5,0 su 5",138 recensioni,"Barbecue, Steakhouse",€€ - €€€
10. Marea Seafood & Beverage,"Punteggio 5,0 su 5",308 recensioni,"Italiana, Pesce",?
11. Kebabbar Star Zagros,"Punteggio 5,0 su 5",415 recensioni,"Mediorientale, Turca",€
12. Cesarino,"Punteggio 5,0 su 5",196 recensioni,"Italiana, Fast food",€
13. Yokohama Flavour Journey Cuisine,"Punteggio 4,5 su 5",2.546 recensioni,"Pesce, Sushi",€€ - €€€
14. Nàpiz',"Punteggio 4,5 su 5",1.253 recensioni,"Pizza, Mediterranea",€€ - €€€
15. Tram,"Punteggio 5,0 su 5",359 recensioni,"Italiana, Cibo di strada",€
16. Bottega Sicula Pescheria,"Punteggio 4,5 su 5",1.578 recensioni,"Mediterranea, Italiana",€€ - €€€
17. Sapori Solari - Cocktail Bistrot,"Punteggio 4,5 su 5",522 recensioni,"Italiana, Pesce",€€ - €€€
18. Pizzium - Via Vigevano,"Punteggio 4,5 su 5",1.430 recensioni,"Italiana, Pizza",€€ - €€€
19. Incontro Restaurant&drink,"Punteggio 5,0 su 5",108 recensioni,"Italiana, Pesce",?
20. Levino Milano,"Punteggio 4,5 su 5",174 recensioni,"Italiana, Pesce",€€€€
21. l’Anlot e Oltre,"Punteggio 4,5 su 5",182 recensioni,"Italiana, Mediterranea",€€ - €€€
22. Piadineria Artigianale Pascoli,"Punteggio 4,5 su 5",927 recensioni,"Italiana, Fast food",€
23. Focus Bracerie Italiane,"Punteggio 4,5 su 5",298 recensioni,"Italiana, Barbecue",€€ - €€€
24. Ristorante Pizzeria O Surdato 'Nnamurato,"Punteggio 4,5 su 5",743 recensioni,"Italiana, Pizza",€
25. Bosco Verticale Restaurant Milano,"Punteggio 4,5 su 5",481 recensioni,"Italiana, Pesce",€€ - €€€
26. L'Immagine Ristorante Bistrot,"Punteggio 4,5 su 5",2.821 recensioni,"Italiana, Mediterranea",€€ - €€€
27. La Tartina,"Punteggio 4,5 su 5",877 recensioni,"Italiana, Caffè",€€ - €€€
28. Ristorante Xiongdi,"Punteggio 4,5 su 5",3.508 recensioni,"Cinese, Giapponese",€€ - €€€
29. Kandoo Nippon Restaurant,"Punteggio 4,5 su 5",585 recensioni,"Giapponese, Pesce",€€ - €€€
30. Al Bacio Navigli,"Punteggio 4,5 su 5",163 recensioni,"Italiana, Contemporanea",€€ - €€€
31. Nero 9,"Punteggio 4,5 su 5",712 recensioni,"Italiana, Steakhouse",€€€€
32. Casa Del Pane,"Punteggio 4,5 su 5",198 recensioni,Cibo di strada,€
33. Wave Cocktail Bar,"Punteggio 5,0 su 5",350 recensioni,"Europea, Pub",€€ - €€€
34. DOT - Chianti Street Food,"Punteggio 4,5 su 5",172 recensioni,"Italiana, Mediterranea",€
35. Crotto Quartino - Milano -,"Punteggio 4,5 su 5",1.005 recensioni,Italiana (nord),€€ - €€€
36. Pizza Shambo,"Punteggio 4,5 su 5",178 recensioni,"Pizza, Italiana",€€ - €€€
37. Pizzium - Viale Tunisia,"Punteggio 4,5 su 5",877 recensioni,"Pizza, Italiana",€€ - €€€
38. Viaggi Nel Gusto,"Punteggio 5,0 su 5",490 recensioni,"Italiana, Mediterranea",€€ - €€€
39. Tamo Mozzarella Bar,"Punteggio 4,5 su 5",225 recensioni,"Italiana, Mediterranea",€€ - €€€
40. Sapori Stellari,"Punteggio 4,5 su 5",409 recensioni,"Italiana, Wine Bar",€€ - €€€
41. my Primè,"Punteggio 4,5 su 5",599 recensioni,"Italiana, Pesce",€€ - €€€
42. Piz,"Punteggio 4,5 su 5",5.292 recensioni,"Italiana, Pizza",€
43. Sushi&Sound,"Punteggio 4,5 su 5",374 recensioni,"Giapponese, Pesce",€€ - €€€
44. Piadineria Doppio Zero,"Punteggio 4,5 su 5",328 recensioni,Italiana,€
45. Boccondivino,"Punteggio 4,5 su 5",922 recensioni,"Italiana, Mediterranea",€€ - €€€
46. G Sushi Oriental Pleasure,"Punteggio 4,5 su 5",235 recensioni,"Giapponese, Pesce",€€ - €€€
47. Linfa Milano - Eat Different,"Punteggio 4,5 su 5",593 recensioni,"Italiana, Salutistica",€€ - €€€
48. Sapori Solari - Salumeria Bistrot,"Punteggio 4,5 su 5",1.726 recensioni,"Italiana, Gastronomia",€€ - €€€
49. Rizzo Come A Casa,"Punteggio 4,5 su 5",1.010 recensioni,"Italiana, Pesce",€€ - €€€
50. Sine by Di Pinto,"Punteggio 4,5 su 5",332 recensioni,"Italiana, Pesce",€€ - €€€
51. Bottega Valtellina 18,"Punteggio 4,5 su 5",529 recensioni,"Italiana, Pizza",€€ - €€€
52. LUX Gourmet Social Club,"Punteggio 4,5 su 5",369 recensioni,"Italiana, Pizza",€€ - €€€
