id,title,r_bubbles,r_number,cook_type,expensive
2700,2701. Tondo Cafè,"Punteggio 5,0 su 5",19 recensioni,"Italiana, Wine Bar",€
2701,2702. Trattoria Jubin,"Punteggio 3,5 su 5",715 recensioni,"Cinese, Giapponese",€€ - €€€
2702,2703. Birrificio Belgrano,"Punteggio 4,0 su 5",36 recensioni,"Birreria, Bar",€€ - €€€
2703,2704. Ci vuole un Drink,"Punteggio 4,5 su 5",18 recensioni,"Italiana, Caffè",€
2704,2705. Molto Ristoro Leggero,"Punteggio 5,0 su 5",17 recensioni,Italiana,€
2705,2706. Tang Court Bbq,"Punteggio 4,0 su 5",46 recensioni,"Cinese, Asiatica",€
2706,2707. Catmint Cat Café,"Punteggio 4,0 su 5",40 recensioni,"Italiana, Americana",€
2707,2708. Ristorante Sciue',"Punteggio 3,5 su 5",300 recensioni,"Italiana, Pesce",€€ - €€€
2708,2709. Bar Principe Di Martinelli Ugo,"Punteggio 4,5 su 5",23 recensioni,"Italiana, Mediterranea",€
2709,2710. Pizzeria Ben Ti Voglio,"Punteggio 4,0 su 5",77 recensioni,"Italiana, Pizza",€
2710,2711. Ecrudo,"Punteggio 4,0 su 5",36 recensioni,"Mediterranea, Italiana",€€€€
2711,2712. Crono città studi,"Punteggio 3,5 su 5",218 recensioni,Italiana,€
2712,2713. My Comfort Food,"Punteggio 4,5 su 5",15 recensioni,Italiana,€
2713,2714. Aqua&Farina,"Punteggio 3,5 su 5",182 recensioni,"Pizza, Mediterranea",€€ - €€€
2714,2715. Wang Jiao,"Punteggio 3,5 su 5",105 recensioni,"Cinese, Pesce",€
2715,2716. Strippoli,"Punteggio 3,5 su 5",80 recensioni,"Italiana, Pizza",€
2716,2717. Sensorium,"Punteggio 4,5 su 5",13 recensioni,Internazionale,€€€€
2717,2718. Panino Giusto First Floor Cordusio,"Punteggio 4,0 su 5",54 recensioni,"Italiana, Bar",€€ - €€€
2718,2719. Bar Nicol,"Punteggio 3,5 su 5",91 recensioni,"Italiana, Caffè",€€ - €€€
2719,2720. La Basilicata,"Punteggio 3,5 su 5",246 recensioni,"Italiana, Pizza",€
2720,2721. Pizzeria da Gino,"Punteggio 3,5 su 5",175 recensioni,"Italiana, Pizza",€
2721,"2722. Combo, Milano","Punteggio 3,5 su 5",121 recensioni,"Italiana, Bar",€€ - €€€
2722,2723. David's,"Punteggio 4,5 su 5",16 recensioni,€,?
2723,2724. Avogado Sprint,"Punteggio 5,0 su 5",17 recensioni,Hawaiana,€
2724,2725. Mediterraneo,"Punteggio 4,0 su 5",54 recensioni,"Italiana, Pizza",€€ - €€€
2725,2726. Trattoria Da Armando E Christian,"Punteggio 3,5 su 5",171 recensioni,"Italiana, Pesce",€€ - €€€
2726,2727. Focaccino,"Punteggio 5,0 su 5",9 recensioni,"Italiana, Italiana (nord)",?
2727,2728. Ristorante Jinfu,"Punteggio 3,5 su 5",244 recensioni,"Cinese, Giapponese",€
2728,2729. Rom'antica Milano,"Punteggio 4,0 su 5",108 recensioni,"Italiana, Pizza",€
2729,2730. Hohoch,"Punteggio 4,0 su 5",54 recensioni,€,?
2730,2731. Pino Focaccia di Tateo Giuseppe,"Punteggio 4,5 su 5",35 recensioni,Italiana,€
2731,2732. Tirana 5,"Punteggio 4,5 su 5",23 recensioni,"Pizza, Italiana",€
2732,2733. Gnulöt,"Punteggio 4,5 su 5",31 recensioni,Italiana,€
2733,2734. God Save the Food,"Punteggio 3,5 su 5",1.112 recensioni,"Italiana, Americana",€€ - €€€
2734,2735. Nettare dei Santi,"Punteggio 3,5 su 5",57 recensioni,"Italiana, Caffè",€
2735,2736. Bellariva,"Punteggio 3,5 su 5",350 recensioni,"Italiana, Mediterranea",€€ - €€€
2736,2737. Trattoria Milano La Fornasetta,"Punteggio 3,5 su 5",276 recensioni,"Italiana, Mediterranea",€
2737,2738. Aloha Poké,"Punteggio 4,5 su 5",26 recensioni,"Hawaiana, Italiana",€€ - €€€
2738,2739. The Wood Bar,"Punteggio 5,0 su 5",17 recensioni,"Italiana, Americana",€€ - €€€
2739,2740. Il Priscio - Panzerotteria con salumi,"Punteggio 4,0 su 5",56 recensioni,"Italiana, Pizza",€
2740,2741. Vecchia Osteria del Mare,"Punteggio 4,0 su 5",31 recensioni,"Italiana, Pesce",€€ - €€€
2741,2742. Sushi Plus Bar,"Punteggio 4,0 su 5",39 recensioni,"Giapponese, Sushi",€
2742,2743. I Capatosta Conchetta,"Punteggio 3,5 su 5",175 recensioni,"Italiana, Pizza",€€ - €€€
2743,2744. Ambasciata Tarantina,"Punteggio 4,0 su 5",76 recensioni,"Italiana, Pizza",€
2744,2745. MI Dimsum,"Punteggio 4,0 su 5",35 recensioni,"Cinese, Asiatica",€€ - €€€
2745,2746. Café Banlieue,"Punteggio 4,5 su 5",22 recensioni,"Bar, Pub",€€ - €€€
2746,2747. Fab,"Punteggio 4,0 su 5",36 recensioni,€€ - €€€,?
2747,2748. En,"Punteggio 3,5 su 5",259 recensioni,"Cinese, Giapponese",€
2748,2749. Todos a Cuba,"Punteggio 3,5 su 5",139 recensioni,"Italiana, Bar",€
2749,2750. Trattoria da Tiberio,"Punteggio 4,0 su 5",36 recensioni,Italiana,€
2750,2751. Signor Vino,"Punteggio 3,5 su 5",233 recensioni,"Italiana, Mediterranea",€€ - €€€
2751,2752. Hekfan Brera,"Punteggio 4,5 su 5",12 recensioni,?,?
2752,2753. Jack the Brewer,"Punteggio 4,0 su 5",50 recensioni,"Bar, Italiana",€
2753,2754. Ross & Bianch,"Punteggio 4,0 su 5",81 recensioni,"Italiana, Bar",€€ - €€€
2754,2755. Matanē,"Punteggio 4,5 su 5",11 recensioni,Giapponese,?
2755,2756. Storica Rosticceria 35,"Punteggio 4,0 su 5",61 recensioni,Italiana,€
2756,2757. Sushi II,"Punteggio 3,5 su 5",166 recensioni,"Cinese, Giapponese",€
2757,2758. Ristorante Pizzeria L'Atmosfera,"Punteggio 3,5 su 5",86 recensioni,"Italiana, Pizza",€€ - €€€
2758,2759. Noyi Chef,"Punteggio 4,0 su 5",56 recensioni,"Cinese, Sushi",€
2759,2760. Domus,"Punteggio 4,5 su 5",23 recensioni,Italiana,€€ - €€€
2760,2761. Pizza A Pezzi,"Punteggio 3,5 su 5",160 recensioni,"Italiana, Pizza",€
2761,2762. Le vie di Taipei,"Punteggio 4,5 su 5",22 recensioni,"Asiatica, Taiwanese",€
2762,2763. Pizzeria Marina,"Punteggio 4,0 su 5",53 recensioni,"Italiana, Pizza",€
2763,2764. Bistrot isola,"Punteggio 4,5 su 5",27 recensioni,"Italiana, Wine Bar",€€ - €€€
2764,2765. Bar Fusina,"Punteggio 4,5 su 5",25 recensioni,"Italiana, Bar",€
2765,2766. Italy Restaurant,"Punteggio 3,5 su 5",129 recensioni,Italiana,€€ - €€€
2766,2767. Sartu,"Punteggio 4,5 su 5",26 recensioni,Italiana,€
2767,2768. Gesualdo Cafè Bistrot,"Punteggio 4,5 su 5",18 recensioni,"Italiana, Centro europea",€€ - €€€
2768,2769. Corner 58 by Roberto Conti,"Punteggio 4,5 su 5",16 recensioni,"Pizza, Contemporanea",€€€€
2769,2770. Ristorante Giapponese Sushi Sashimi Take Away,"Punteggio 4,0 su 5",52 recensioni,"Giapponese, Cinese",€
2770,2771. Ristorante Lobster & More,"Punteggio 4,0 su 5",29 recensioni,"Italiana, Pesce",€€ - €€€
2771,2772. Moscova 7,"Punteggio 4,0 su 5",64 recensioni,Italiana,€
2772,2773. Maradona,"Punteggio 4,0 su 5",38 recensioni,Fast food,€
2773,2774. Osteria Fiorentina,"Punteggio 4,0 su 5",54 recensioni,"Italiana, Toscana",€€ - €€€
2774,2775. Boeucc Bistrot,"Punteggio 4,5 su 5",16 recensioni,"Italiana, Mediterranea",€€€€
2775,2776. Angelo's Bistrot,"Punteggio 3,5 su 5",144 recensioni,"Italiana, Mediterranea",€€ - €€€
2776,2777. La Saporita,"Punteggio 4,0 su 5",62 recensioni,"Italiana, Pizza",€€ - €€€
2777,2778. Laz 61,"Punteggio 4,0 su 5",37 recensioni,"Turca, Italiana",€
2778,2779. Rosmari,"Punteggio 5,0 su 5",17 recensioni,Italiana,€
2779,2780. Gaya,"Punteggio 3,5 su 5",132 recensioni,"Barbecue, Coreana",€€ - €€€
2780,2781. Miu - Sapori D'oriente,"Punteggio 3,5 su 5",230 recensioni,"Cinese, Giapponese",€€ - €€€
2781,2782. Viky's Burger Queen,"Punteggio 4,0 su 5",23 recensioni,"Italiana, Americana",?
2782,2783. Casa Borella,"Punteggio 4,0 su 5",108 recensioni,"Italiana, Europea",€€ - €€€
2783,2784. Quattro Mori,"Punteggio 3,5 su 5",599 recensioni,"Italiana, Pesce",€€ - €€€
2784,2785. Kobe Sushi,"Punteggio 3,5 su 5",528 recensioni,"Cinese, Giapponese",€
2785,2786. Rock'n'Roll,"Punteggio 4,0 su 5",102 recensioni,"Americana, Bar",€
2786,2787. 7's Giò Farini,"Punteggio 3,5 su 5",123 recensioni,"Italiana, Bar",€
2787,2788. Canaletto Bistrot,"Punteggio 4,0 su 5",59 recensioni,"Pesce, Italiana",?
2788,2789. Houseki Sushi,"Punteggio 4,5 su 5",13 recensioni,"Italiana, Cinese",€€ - €€€
2789,2790. Pizzium - Milano Via Solari,"Punteggio 4,5 su 5",12 recensioni,"Pizza, Mediterranea",?
2790,2791. KE Pizza,"Punteggio 4,0 su 5",53 recensioni,"Italiana, Pizza",€€ - €€€
2791,2792. Gnam. Delizie quotidiane,"Punteggio 4,0 su 5",58 recensioni,"Italiana, Salutistica",€
2792,2793. Ai Tre Gradini,"Punteggio 3,5 su 5",156 recensioni,"Italiana, Pizza",€
2793,2794. Pearl Oyster & Tapas,"Punteggio 5,0 su 5",9 recensioni,"Italiana, Pesce",?
2794,2795. Rossopomodoro,"Punteggio 3,5 su 5",286 recensioni,"Italiana, Pizza",€€ - €€€
2795,2796. Original Pizza,"Punteggio 3,5 su 5",565 recensioni,"Italiana, Pizza",€€ - €€€
2796,2797. Toyama Ristorante Orientale,"Punteggio 3,5 su 5",297 recensioni,"Cinese, Giapponese",€
2797,2798. Fabbrica Pizzeria,"Punteggio 3,5 su 5",1.179 recensioni,"Italiana, Pizza",€€ - €€€
2798,2799. Mama Cake,"Punteggio 4,5 su 5",36 recensioni,"Caffè, Italiana",€
2799,2800. Il Grissino,"Punteggio 3,5 su 5",237 recensioni,"Italiana, Pizza",€
2800,2801. Ristorante Pizzeria Piedigrotta,"Punteggio 4,0 su 5",75 recensioni,"Italiana, Pizza",€
2801,2802. La Volpe e il Vino,"Punteggio 4,0 su 5",31 recensioni,"Italiana, Wine Bar",€€ - €€€
2802,2803. John Barleycorn,"Punteggio 3,5 su 5",143 recensioni,"Italiana, Birreria",€€ - €€€
2803,2804. Il Bel Giardino,"Punteggio 4,0 su 5",42 recensioni,"Cinese, Asiatica",€
2804,2805. BAOBAR,"Punteggio 3,5 su 5",214 recensioni,"Bar, Internazionale",€€ - €€€
2805,2806. Shalimar - Ristorante Indiano Halal,"Punteggio 4,0 su 5",25 recensioni,"Indiana, Pakistana",€€ - €€€
2806,2807. Pestalozzi Uno,"Punteggio 4,5 su 5",24 recensioni,"Italiana, Caffè",€
2807,2808. That's Vapore Gae Aulenti,"Punteggio 3,5 su 5",97 recensioni,"Italiana, Fast food",€€ - €€€
2808,2809. Rivington,"Punteggio 5,0 su 5",8 recensioni,"Americana, Steakhouse",?
2809,2810. TAIPY,"Punteggio 4,5 su 5",23 recensioni,"Italiana, Caffè",€
2810,2811. Punjab Restaurant,"Punteggio 3,5 su 5",242 recensioni,"Indiana, Mediorientale",€
2811,2812. Mudec Bistrot,"Punteggio 3,5 su 5",337 recensioni,"Internazionale, Italiana",€€ - €€€
2812,2813. Sapore Verace,"Punteggio 4,0 su 5",49 recensioni,"Pizza, Italiana",€
2813,2814. Monty Pizzeria,"Punteggio 4,5 su 5",25 recensioni,"Italiana, Pizza",€€ - €€€
2814,2815. Filante,"Punteggio 3,5 su 5",84 recensioni,"Italiana, Pizza",€€ - €€€
2815,2816. Torre,"Punteggio 3,5 su 5",130 recensioni,"Italiana, Pesce",€€€€
2816,2817. Garconne milano,"Punteggio 4,5 su 5",30 recensioni,Italiana,€€ - €€€
2817,2818. Fruer,"Punteggio 4,0 su 5",42 recensioni,"Italiana, Fast food",€
