title,r_bubbles,r_number,cook_type,expensive
1. Mabuhay Restaurant,"Punteggio 5,0 su 5",841 recensioni,Filippina,€
2. Parea Bistrot,"Punteggio 5,0 su 5",156 recensioni,?,?
3. Il Panino,"Punteggio 5,0 su 5",226 recensioni,"Italiana, Cibo di strada",€
4. Cantiere Hambirreria,"Punteggio 5,0 su 5",918 recensioni,"Italiana, Americana",?
5. BLUE M Milano - Bottega Marchigiana,"Punteggio 5,0 su 5",158 recensioni,Italiana,€
6. Shabby Grill Restaurant,"Punteggio 5,0 su 5",434 recensioni,"Italiana, Steakhouse",€€ - €€€
7. Osteria Da Fortunata - Moscova Milano,"Punteggio 5,0 su 5",176 recensioni,"Romana, Laziale",?
8. Pizzium - Via Anfossi,"Punteggio 4,5 su 5",1.689 recensioni,"Italiana, Pizza",€€ - €€€
9. Marea Seafood & Beverage,"Punteggio 5,0 su 5",308 recensioni,"Italiana, Pesce",?
10. PitBeef Milano,"Punteggio 5,0 su 5",138 recensioni,"Barbecue, Steakhouse",€€ - €€€
11. Kebabbar Star Zagros,"Punteggio 5,0 su 5",416 recensioni,"Mediorientale, Turca",€
12. Cesarino,"Punteggio 5,0 su 5",197 recensioni,"Italiana, Fast food",€
13. Yokohama Flavour Journey Cuisine,"Punteggio 4,5 su 5",2.552 recensioni,"Pesce, Sushi",€€ - €€€
14. Nàpiz',"Punteggio 4,5 su 5",1.255 recensioni,"Pizza, Mediterranea",€€ - €€€
15. Tram,"Punteggio 5,0 su 5",359 recensioni,"Italiana, Cibo di strada",€
16. Bottega Sicula Pescheria,"Punteggio 4,5 su 5",1.582 recensioni,"Mediterranea, Italiana",€€ - €€€
17. Sapori Solari - Cocktail Bistrot,"Punteggio 4,5 su 5",523 recensioni,"Italiana, Pesce",€€ - €€€
18. Incontro Restaurant&drink,"Punteggio 5,0 su 5",113 recensioni,"Italiana, Pesce",?
19. Pizzium - Via Vigevano,"Punteggio 4,5 su 5",1.450 recensioni,"Italiana, Pizza",€€ - €€€
20. Ristorante Pizzeria O Surdato 'Nnamurato,"Punteggio 4,5 su 5",747 recensioni,"Italiana, Pizza",€
21. Levino Milano,"Punteggio 4,5 su 5",175 recensioni,"Italiana, Pesce",€€€€
22. Piadineria Artigianale Pascoli,"Punteggio 4,5 su 5",928 recensioni,"Italiana, Fast food",€
23. l’Anlot e Oltre,"Punteggio 4,5 su 5",184 recensioni,"Italiana, Mediterranea",€€ - €€€
24. Bosco Verticale Restaurant Milano,"Punteggio 4,5 su 5",482 recensioni,"Italiana, Pesce",€€ - €€€
25. L'Immagine Ristorante Bistrot,"Punteggio 4,5 su 5",2.822 recensioni,"Italiana, Mediterranea",€€ - €€€
26. Ristorante Xiongdi,"Punteggio 4,5 su 5",3.508 recensioni,"Cinese, Giapponese",€€ - €€€
27. Al Bacio Navigli,"Punteggio 4,5 su 5",163 recensioni,"Italiana, Contemporanea",€€ - €€€
28. Kandoo Nippon Restaurant,"Punteggio 4,5 su 5",586 recensioni,"Giapponese, Pesce",€€ - €€€
29. Nero 9,"Punteggio 4,5 su 5",712 recensioni,"Italiana, Steakhouse",€€€€
30. La Tartina,"Punteggio 4,5 su 5",880 recensioni,"Italiana, Caffè",€€ - €€€
1. Mabuhay Restaurant,"Punteggio 5,0 su 5",841 recensioni,Filippina,€
2. Parea Bistrot,"Punteggio 5,0 su 5",156 recensioni,?,?
3. Il Panino,"Punteggio 5,0 su 5",226 recensioni,"Italiana, Cibo di strada",€
4. Cantiere Hambirreria,"Punteggio 5,0 su 5",918 recensioni,"Italiana, Americana",?
5. BLUE M Milano - Bottega Marchigiana,"Punteggio 5,0 su 5",158 recensioni,Italiana,€
6. Shabby Grill Restaurant,"Punteggio 5,0 su 5",434 recensioni,"Italiana, Steakhouse",€€ - €€€
7. Osteria Da Fortunata - Moscova Milano,"Punteggio 5,0 su 5",176 recensioni,"Romana, Laziale",?
8. Pizzium - Via Anfossi,"Punteggio 4,5 su 5",1.689 recensioni,"Italiana, Pizza",€€ - €€€
9. Marea Seafood & Beverage,"Punteggio 5,0 su 5",308 recensioni,"Italiana, Pesce",?
10. PitBeef Milano,"Punteggio 5,0 su 5",138 recensioni,"Barbecue, Steakhouse",€€ - €€€
11. Kebabbar Star Zagros,"Punteggio 5,0 su 5",416 recensioni,"Mediorientale, Turca",€
12. Cesarino,"Punteggio 5,0 su 5",197 recensioni,"Italiana, Fast food",€
13. Yokohama Flavour Journey Cuisine,"Punteggio 4,5 su 5",2.552 recensioni,"Pesce, Sushi",€€ - €€€
14. Nàpiz',"Punteggio 4,5 su 5",1.255 recensioni,"Pizza, Mediterranea",€€ - €€€
15. Tram,"Punteggio 5,0 su 5",359 recensioni,"Italiana, Cibo di strada",€
16. Bottega Sicula Pescheria,"Punteggio 4,5 su 5",1.582 recensioni,"Mediterranea, Italiana",€€ - €€€
