id,link
0,https://www.tripadvisor.it/Restaurant_Review-g187849-d17805000-Reviews-Mabuhay_Restaurant-Milan_Lombardy.html
1,https://www.tripadvisor.it/Restaurant_Review-g187849-d24167962-Reviews-Parea_Bistrot-Milan_Lombardy.html
2,https://www.tripadvisor.it/Restaurant_Review-g187849-d6158885-Reviews-Il_Panino_del_Laghetto-Milan_Lombardy.html
3,https://www.tripadvisor.it/Restaurant_Review-g187849-d23920089-Reviews-Cantiere_Hambirreria-Milan_Lombardy.html
4,https://www.tripadvisor.it/Restaurant_Review-g187849-d15831930-Reviews-BLUE_M_Milano_Bottega_Marchigiana-Milan_Lombardy.html
5,https://www.tripadvisor.it/Restaurant_Review-g187849-d20029959-Reviews-Shabby_Grill_Restaurant-Milan_Lombardy.html
6,https://www.tripadvisor.it/Restaurant_Review-g187849-d25007706-Reviews-Osteria_Da_Fortunata_Moscova_Milano-Milan_Lombardy.html
7,https://www.tripadvisor.it/Restaurant_Review-g187849-d12958548-Reviews-Pizzium_Via_Anfossi-Milan_Lombardy.html
8,https://www.tripadvisor.it/Restaurant_Review-g187849-d23650099-Reviews-Marea_Seafood_Beverage-Milan_Lombardy.html
9,https://www.tripadvisor.it/Restaurant_Review-g187849-d21010620-Reviews-PitBeef_Milano-Milan_Lombardy.html
10,https://www.tripadvisor.it/Restaurant_Review-g187849-d9558612-Reviews-Kebabbar_Star_Zagros-Milan_Lombardy.html
11,https://www.tripadvisor.it/Restaurant_Review-g187849-d20112890-Reviews-Cesarino-Milan_Lombardy.html
12,https://www.tripadvisor.it/Restaurant_Review-g187849-d1475468-Reviews-Yokohama_Flavour_Journey_Cuisine-Milan_Lombardy.html
13,https://www.tripadvisor.it/Restaurant_Review-g187849-d16755658-Reviews-Napiz_Milano-Milan_Lombardy.html
14,https://www.tripadvisor.it/Restaurant_Review-g187849-d12335164-Reviews-Bottega_Sicula_Pescheria-Milan_Lombardy.html
15,https://www.tripadvisor.it/Restaurant_Review-g187849-d7992829-Reviews-Tram-Milan_Lombardy.html
16,https://www.tripadvisor.it/Restaurant_Review-g187849-d14944465-Reviews-Sapori_Solari_Cocktail_Bistrot-Milan_Lombardy.html
17,https://www.tripadvisor.it/Restaurant_Review-g187849-d23957929-Reviews-Incontro_Restaurant_drink-Milan_Lombardy.html
18,https://www.tripadvisor.it/Restaurant_Review-g187849-d17555609-Reviews-Pizzium_Via_Vigevano-Milan_Lombardy.html
19,https://www.tripadvisor.it/Restaurant_Review-g187849-d20088982-Reviews-Levino_Milano-Milan_Lombardy.html
20,https://www.tripadvisor.it/Restaurant_Review-g187849-d7591125-Reviews-Ristorante_Pizzeria_O_Surdato_Nnamurato-Milan_Lombardy.html
21,https://www.tripadvisor.it/Restaurant_Review-g187849-d6091154-Reviews-Piadineria_Artigianale_Pascoli-Milan_Lombardy.html
22,https://www.tripadvisor.it/Restaurant_Review-g187849-d15293514-Reviews-L_Anlot_e_Oltre-Milan_Lombardy.html
23,https://www.tripadvisor.it/Restaurant_Review-g187849-d12460701-Reviews-Bosco_Verticale_Restaurant_Milano-Milan_Lombardy.html
24,https://www.tripadvisor.it/Restaurant_Review-g187849-d1629070-Reviews-L_Immagine_Ristorante_Bistrot-Milan_Lombardy.html
25,https://www.tripadvisor.it/Restaurant_Review-g187849-d19261522-Reviews-Al_Bacio_Navigli-Milan_Lombardy.html
26,https://www.tripadvisor.it/Restaurant_Review-g187849-d8828418-Reviews-Ristorante_Xiongdi-Milan_Lombardy.html
27,https://www.tripadvisor.it/Restaurant_Review-g187849-d13138666-Reviews-Nero_9-Milan_Lombardy.html
28,https://www.tripadvisor.it/Restaurant_Review-g187849-d1050962-Reviews-Kandoo_Nippon_Restaurant-Milan_Lombardy.html
29,https://www.tripadvisor.it/Restaurant_Review-g187849-d23540298-Reviews-Focus_Bracerie_Italiane-Milan_Lombardy.html
30,https://www.tripadvisor.it/Restaurant_Review-g187849-d17805000-Reviews-Mabuhay_Restaurant-Milan_Lombardy.html
66,https://www.tripadvisor.it/Restaurant_Review-g187849-d7897005-Reviews-Casa_Del_Pane-Milan_Lombardy.html
67,https://www.tripadvisor.it/Restaurant_Review-g187849-d7311276-Reviews-La_Tartina-Milan_Lombardy.html
102,https://www.tripadvisor.it/Restaurant_Review-g187849-d10791496-Reviews-Drinc_Cocktail_Conversation-Milan_Lombardy.html
103,https://www.tripadvisor.it/Restaurant_Review-g187849-d10809021-Reviews-Soprattutto-Milan_Lombardy.html
138,https://www.tripadvisor.it/Restaurant_Review-g187849-d17370347-Reviews-Sapori_Solari_La_Bisteccheria-Milan_Lombardy.html
139,https://www.tripadvisor.it/Restaurant_Review-g187849-d13360558-Reviews-TheLab_unconventional_burger_experienceR-Milan_Lombardy.html
174,https://www.tripadvisor.it/Restaurant_Review-g187849-d14199823-Reviews-Olo_olo_Ravioleria-Milan_Lombardy.html
175,https://www.tripadvisor.it/Restaurant_Review-g187849-d10510462-Reviews-Icon_Cafe_Milano-Milan_Lombardy.html
176,https://www.tripadvisor.it/Restaurant_Review-g187849-d10338737-Reviews-Pasta_d_Autore-Milan_Lombardy.html
210,https://www.tripadvisor.it/Restaurant_Review-g187849-d2470178-Reviews-Nico_Ristorante_Pizzeria-Milan_Lombardy.html
211,https://www.tripadvisor.it/Restaurant_Review-g187849-d3323094-Reviews-Bab-Milan_Lombardy.html
212,https://www.tripadvisor.it/Restaurant_Review-g187849-d1444177-Reviews-Trattoria_Il_Cestino-Milan_Lombardy.html
246,https://www.tripadvisor.it/Restaurant_Review-g187849-d1081851-Reviews-Da_Salvatore_Trattoria_Siciliana-Milan_Lombardy.html
247,https://www.tripadvisor.it/Restaurant_Review-g187849-d21341854-Reviews-Carmelina_via_Revel_5-Milan_Lombardy.html
248,https://www.tripadvisor.it/Restaurant_Review-g187849-d2529442-Reviews-La_Coccinella-Milan_Lombardy.html
249,https://www.tripadvisor.it/Restaurant_Review-g187849-d1937524-Reviews-La_Belle_Alliance-Milan_Lombardy.html
250,https://www.tripadvisor.it/Restaurant_Review-g187849-d8143617-Reviews-Bomaki_Foppa-Milan_Lombardy.html
251,https://www.tripadvisor.it/Restaurant_Review-g187849-d8419469-Reviews-Angus_and_More-Milan_Lombardy.html
281,https://www.tripadvisor.it/Restaurant_Review-g187849-d1898970-Reviews-Oren-Milan_Lombardy.html
282,https://www.tripadvisor.it/Restaurant_Review-g187849-d1035872-Reviews-San_Mina-Milan_Lombardy.html
283,https://www.tripadvisor.it/Restaurant_Review-g187849-d816872-Reviews-Osteria_Al_Molo_13-Milan_Lombardy.html
317,https://www.tripadvisor.it/Restaurant_Review-g187849-d7693789-Reviews-Hegui_Taste_of_Asia-Milan_Lombardy.html
318,https://www.tripadvisor.it/Restaurant_Review-g187849-d2472084-Reviews-Grigliamania-Milan_Lombardy.html
319,https://www.tripadvisor.it/Restaurant_Review-g187849-d2172640-Reviews-La_Posteria_di_Nonna_Papera-Milan_Lombardy.html
