id_restaurants,bubbles,title,description
0,bubble_40,,Molto bello mi ha spaventato abbastanza il fatto che usano il fuoco sulle foglie anche se poi il risultato era ottimo. Il personale è cordiale.
0,bubble_40,,"Consigliato da un amico fidato, mi sono recato con 5 amici in questo ristorante filippino per un pranzo domenicale. Le buone aspettative sono state tutte confermate. Personale gentile e cordiale, buon cibo cucinato al momento e molto delicato. Tutto buono, dai Takoyaki,, ai bao, gli...Più"
0,bubble_50,,"Locale piccolo e accogliente, il personale gentilissimo, cibo altrettanto buono, consigliatissimo, in 4 abbiamo speso 90 euro ( con bottiglia di vino ). Ci ritornero'"
0,bubble_50,,"Ragazzi a dir poco eccellente, consigliatissimo su tutto, servizio, cucina,non economico,ma ne vale la pena."
0,bubble_50,,Siamo stati in questo ristorante per una domenica a pranzo e ci siamo trovati molto bene. Il personale è molto cortese e attento alle intolleranze/allergie. Ci ha trovato un tavolo anche se non avevamo prenotato e nonostante il locale fosse pieno (meglio prenotare infatti). I...Più
0,bubble_50,,"Cibo eccezionale, prezzi giusti, personale adorabile. Da tornare assolutamente per provare tutto il menù! Menzione d'onore ai dolci."
0,bubble_50,,"Posto veramente eccezionale, proprio di fronte alla scuola superiore Carlo Tenca, un locale piccolo ma veramente suggestivo e particolare. La cucina è interamente a vista, pulita, con una linea preparata di tutto punto per il servizio. L’insegna è la parola filippina Mabuhai che tradotto in...Più"
0,bubble_50,,"Piccolo ristorante con cucina a vista. Piatti ottimi e personale molto gentile e disponibile. Ci ha colpito la cucina a vista. Il cuoco prima di andare è uscito a salutarci, ringraziarci e a sincerarsi del gradito pranzo."
0,bubble_50,,"Complimenti a tutto lo staff, piatti serviti con cura ,porzioni abbondante ma curati nei dettagli un grande sapore di vera cucina filippina, con prodotti di alta qualità, locale piccolo ma pulitissimo. Complimenti da tornare e da consigliare sempre."
0,bubble_50,,"Piatti preparati con cura e ottime materie prime, staff molto gentile e preparato, conto tutto sommato onesto, purtroppo il locale è piccolo ma comunque accogliente."
1,bubble_50,,Una bella serata siamo stati molto bene abbiamo cenato con dell’ottimo vino era un Cabernet Sauvignon bello anche l’ambientazione per Natale complimenti allo chef patron
1,bubble_50,,"Sono stato a pranzo con mia moglie, pensavamo a qualcosa di veloce tanto per tamponare un po di appetito. Abbiamo scoperto un angolo di ricercata semplicita’. Locale allestito con stile minimalista, caldo ed accogliente. Menu’ interessantissimo. Abdicata l’idea del veloce pasto ci siamo avventurati nel...Più"
1,bubble_50,,Ottimo locale e personale attento e cordiale. Mi ha servito una cameriera alla quale ho detto di cuore che era carina e gentile. La ragazza mi ha ringraziato ed il tutto è finito lì. Al tavolo di fianco al mio c'era una ragazza che mi...Più
1,bubble_50,,"Niente da criticare. Location bellissima, servizio impeccabile e tutto il resto ottimo. Ritorneremo sicuramente!!"
1,bubble_50,,"Locale contemporaneo di ottimo gusto, ottime le proposte main dishes. Location perfetta per una cena o un pranzo di lavoro, anche il post cena, molto interessante, cocktail ben fatti. Assolutamente consigliato."
1,bubble_50,,Ancora qui. Dopo qualche mese sono tornato e ho trovato tanti miglioramenti nel menu e nel servizio. Anche il locale è più carino e ben arredato. Ottimo Posto per Una serata con amici e in compagnia
1,bubble_50,,Perfetto sia per un boccone al volo a pranzo sia per bere in compagnia la sera. Cibo e drink di altissima qualità in pieno centro. Super consigliato!
