Unnamed: 0,title,r_bubbles,r_number,cook_type,expensive
0,Ristorante Ischia,"Punteggio 4,5 su 5",31 recensioni,"Italiana, Pesce",2.5
1, Mabuhay Restaurant,"Punteggio 5,0 su 5",839 recensioni,Filippina,1
2, Parea Bistrot,"Punteggio 5,0 su 5",157 recensioni,?,?
3, BLUE M Milano - Bottega Marchigiana,"Punteggio 5,0 su 5",153 recensioni,Italiana,1
4, Il Panino,"Punteggio 5,0 su 5",224 recensioni,"Italiana, Cibo di strada",1
5, Cantiere Hambirreria,"Punteggio 5,0 su 5",854 recensioni,"Italiana, Americana",?
6,Carico,"Punteggio 4,0 su 5",24 recensioni,Internazionale,2.5
7, Shabby Grill Restaurant,"Punteggio 5,0 su 5",430 recensioni,"Italiana, Steakhouse",2.5
8, Osteria Da Fortunata - Moscova Milano,"Punteggio 5,0 su 5",171 recensioni,"Romana, Laziale",?
9, Pizzium - Via Anfossi,"Punteggio 4,5 su 5",1.672 recensioni,"Italiana, Pizza",2.5
10, PitBeef Milano,"Punteggio 5,0 su 5",138 recensioni,"Barbecue, Steakhouse",2.5
11, Cesarino,"Punteggio 5,0 su 5",195 recensioni,"Italiana, Fast food",1
12, Marea Seafood & Beverage,"Punteggio 5,0 su 5",305 recensioni,"Italiana, Pesce",?
13, Kebabbar Star Zagros,"Punteggio 5,0 su 5",412 recensioni,"Mediorientale, Turca",1
14, Yokohama Flavour Journey Cuisine,"Punteggio 4,5 su 5",2.543 recensioni,"Pesce, Sushi",2.5
15, Nàpiz',"Punteggio 4,5 su 5",1.251 recensioni,"Pizza, Mediterranea",2.5
16, Sapori Solari - Cocktail Bistrot,"Punteggio 4,5 su 5",522 recensioni,"Italiana, Pesce",2.5
17, Incontro Restaurant&drink,"Punteggio 5,0 su 5",107 recensioni,"Italiana, Pesce",?
18, Tram,"Punteggio 5,0 su 5",359 recensioni,"Italiana, Cibo di strada",1
19, Bottega Sicula Pescheria,"Punteggio 4,5 su 5",1.574 recensioni,"Mediterranea, Italiana",2.5
20, Pizzium - Via Vigevano,"Punteggio 4,5 su 5",1.425 recensioni,"Italiana, Pizza",2.5
21, Levino Milano,"Punteggio 4,5 su 5",174 recensioni,"Italiana, Pesce",€€€€
22, l’Anlot e Oltre,"Punteggio 4,5 su 5",182 recensioni,"Italiana, Mediterranea",2.5
23, Piadineria Artigianale Pascoli,"Punteggio 4,5 su 5",927 recensioni,"Italiana, Fast food",1
24, Focus Bracerie Italiane,"Punteggio 4,5 su 5",297 recensioni,"Italiana, Barbecue",2.5
25, Ristorante Pizzeria O Surdato 'Nnamurato,"Punteggio 4,5 su 5",741 recensioni,"Italiana, Pizza",1
26, Bosco Verticale Restaurant Milano,"Punteggio 4,5 su 5",481 recensioni,"Italiana, Pesce",2.5
27, L'Immagine Ristorante Bistrot,"Punteggio 4,5 su 5",2.821 recensioni,"Italiana, Mediterranea",2.5
28, La Tartina,"Punteggio 4,5 su 5",871 recensioni,"Italiana, Caffè",2.5
29, Ristorante Xiongdi,"Punteggio 4,5 su 5",3.508 recensioni,"Cinese, Giapponese",2.5
30, Al Bacio Navigli,"Punteggio 4,5 su 5",163 recensioni,"Italiana, Contemporanea",2.5
31, Nero 9,"Punteggio 4,5 su 5",712 recensioni,"Italiana, Steakhouse",€€€€
33, Kandoo Nippon Restaurant,"Punteggio 4,5 su 5",584 recensioni,"Giapponese, Pesce",2.5
34, Casa Del Pane,"Punteggio 4,5 su 5",198 recensioni,Cibo di strada,1
35, Crotto Quartino - Milano -,"Punteggio 4,5 su 5",981 recensioni,Italiana (nord),2.5
