,Unnamed: 0,nome,punteggio,numero_recensioni,tipo_cucina,prezzo
0,0,Ristorante Ischia,4,3,"['Italiana', ' Pesce']",2.5
1,1, Mabuhay Restaurant,5,8,['Filippina'],1
2,2, Parea Bistrot,5,1,['?'],?
3,3, BLUE M Milano - Bottega Marchigiana,5,1,['Italiana'],1
4,4, Il Panino,5,2,"['Italiana', ' Cibo di strada']",1
5,5, Cantiere Hambirreria,5,8,"['Italiana', ' Americana']",?
6,6,Carico,4,2,['Internazionale'],2.5
7,7, Shabby Grill Restaurant,5,4,"['Italiana', ' Steakhouse']",2.5
8,8, Osteria Da Fortunata - Moscova Milano,5,1,"['Romana', ' Laziale']",?
9,9, Pizzium - Via Anfossi,4,1.6,"['Italiana', ' Pizza']",2.5
10,10, PitBeef Milano,5,1,"['Barbecue', ' Steakhouse']",2.5
11,11, Cesarino,5,1,"['Italiana', ' Fast food']",1
12,12, Marea Seafood & Beverage,5,3,"['Italiana', ' Pesce']",?
13,13, Kebabbar Star Zagros,5,4,"['Mediorientale', ' Turca']",1
14,14, Yokohama Flavour Journey Cuisine,4,2.5,"['Pesce', ' Sushi']",2.5
15,15, Nàpiz',4,1.2,"['Pizza', ' Mediterranea']",2.5
16,16, Sapori Solari - Cocktail Bistrot,4,5,"['Italiana', ' Pesce']",2.5
17,17, Incontro Restaurant&drink,5,1,"['Italiana', ' Pesce']",?
18,18, Tram,5,3,"['Italiana', ' Cibo di strada']",1
19,19, Bottega Sicula Pescheria,4,1.5,"['Mediterranea', ' Italiana']",2.5
20,20, Pizzium - Via Vigevano,4,1.4,"['Italiana', ' Pizza']",2.5
21,21, Levino Milano,4,1,"['Italiana', ' Pesce']",4
22,22, l’Anlot e Oltre,4,1,"['Italiana', ' Mediterranea']",2.5
23,23, Piadineria Artigianale Pascoli,4,9,"['Italiana', ' Fast food']",1
24,24, Focus Bracerie Italiane,4,2,"['Italiana', ' Barbecue']",2.5
25,25, Ristorante Pizzeria O Surdato 'Nnamurato,4,7,"['Italiana', ' Pizza']",1
26,26, Bosco Verticale Restaurant Milano,4,4,"['Italiana', ' Pesce']",2.5
27,27, L'Immagine Ristorante Bistrot,4,2.8,"['Italiana', ' Mediterranea']",2.5
28,28, La Tartina,4,8,"['Italiana', ' Caffè']",2.5
29,29, Ristorante Xiongdi,4,3.5,"['Cinese', ' Giapponese']",2.5
30,30, Al Bacio Navigli,4,1,"['Italiana', ' Contemporanea']",2.5
31,31, Nero 9,4,7,"['Italiana', ' Steakhouse']",4
33,33, Kandoo Nippon Restaurant,4,5,"['Giapponese', ' Pesce']",2.5
34,34, Casa Del Pane,4,1,['Cibo di strada'],1
35,35, Crotto Quartino - Milano -,4,9,['Italiana (nord)'],2.5
36,36, DOT - Chianti Street Food,4,1,"['Italiana', ' Mediterranea']",1
37,37, Wave Cocktail Bar,5,3,"['Europea', ' Pub']",2.5
39,39, Pizza Shambo,4,1,"['Pizza', ' Italiana']",2.5
40,40, Viaggi Nel Gusto,5,4,"['Italiana', ' Mediterranea']",2.5
41,41, Pizzium - Viale Tunisia,4,8,"['Pizza', ' Italiana']",2.5
42,42, Tamo Mozzarella Bar,4,2,"['Italiana', ' Mediterranea']",2.5
43,43, Sapori Stellari,4,4,"['Italiana', ' Wine Bar']",2.5
44,44, Linfa Milano - Eat Different,4,5,"['Italiana', ' Salutistica']",2.5
45,45, Piz,4,5.2,"['Italiana', ' Pizza']",1
46,46, Sushi&Sound,4,3,"['Giapponese', ' Pesce']",2.5
47,47, Piadineria Doppio Zero,4,3,['Italiana'],1
48,48, Boccondivino,4,9,"['Italiana', ' Mediterranea']",2.5
49,49, G Sushi Oriental Pleasure,4,2,"['Giapponese', ' Pesce']",2.5
50,50, my Primè,4,5,"['Italiana', ' Pesce']",2.5
